Distance,Ascent,Name,City,Date
0.86 mi,10.8 ft,0.81mi Run,Norridge,2/22/2020
4.45 mi,41.3 ft,Route from GARMIN 3113 (2020-02-22 13:02:38+00:00),Arlington Heights,2/22/2020
5.99 mi,268.0 ft,Route from GARMIN 3113 (2020-02-22 00:11:40+00:00),Chicago,2/21/2020
7.07 mi,151.2 ft,6.23mi Run,Chicago,2/21/2020
5.14 mi,65.6 ft,Route from GARMIN 2431 (2020-02-21 19:26:20+00:00),Park Ridge,2/21/2020
6.60 mi,109.9 ft,Route from GARMIN 2431 (2020-02-21 18:59:21+00:00),Rosemont,2/21/2020
3.03 mi,34.4 ft,Route from GARMIN FR220 (2020-02-21 12:49:53+00:00),Chicago,2/21/2020
2.71 mi,61.7 ft,Route from GARMIN 2431 (2020-02-21 12:43:50+00:00),Chicago,2/21/2020
1.10 mi,10.8 ft,1.09mi Run,Oak Park,2/21/2020
9.18 mi,207.3 ft,9.02mi Run,Itasca,2/20/2020
0.18 mi,0.0 ft,2.80mi Run,Buffalo Grove,2/20/2020
2.21 mi,33.8 ft,Route from GARMIN FR220 (2020-02-17 17:41:48+00:00),Chicago,2/20/2020
2.48 mi,30.8 ft,Route from GARMIN FR220 (2020-02-19 16:00:10+00:00),Chicago,2/20/2020
5.34 mi,84.3 ft,5.33mi Run,Buffalo Grove,2/20/2020
2.23 mi,37.4 ft,1.83mi Run,Lake Forest,2/20/2020
12.20 mi,169.3 ft,Route from GARMIN 3113 (2020-02-20 11:23:46+00:00),Arlington Heights,2/20/2020
1.02 mi,7.2 ft,1.02mi Run,Oak Park,2/20/2020
2.74 mi,28.9 ft,Route from GARMIN 2503 (2020-02-20 11:15:28+00:00),Evanston,2/20/2020
3.06 mi,55.1 ft,Route from GARMIN 2431 (2020-02-20 01:26:02+00:00),Chicago,2/19/2020
6.48 mi,62.7 ft,Route from GARMIN 2988 (2020-02-19 22:11:01+00:00),Lincolnwood,2/19/2020
3.09 mi,31.5 ft,3.1 global running day,Lake Forest,2/19/2020
9.13 mi,211.0 ft,9-Miler,Palatine,2/19/2020
3.10 mi,57.7 ft,AAFP 5K (2),Chicago,2/19/2020
2.09 mi,7.9 ft,1.70mi Run,Forest Park,2/19/2020
5.51 mi,108.9 ft,5.25 miles,Palatine,2/19/2020
2.09 mi,7.9 ft,1.70mi Run,Forest Park,2/19/2020
2.13 mi,18.7 ft,Route from GARMIN 2988 (2020-02-19 04:35:50+00:00),Lincolnwood,2/18/2020
10.25 mi,107.3 ft,10.25mi Run,Addison,2/18/2020
5.06 mi,63.0 ft,5.06mi Run,Addison,2/18/2020
5.07 mi,127.3 ft,Route from GARMIN 2158 (2020-02-19 01:20:13+00:00),Libertyville,2/18/2020
2.04 mi,12.5 ft,2.04mi Run,Oak Brook,2/18/2020
3.72 mi,79.7 ft,3.42mi Run,Chicago,2/18/2020
3.21 mi,42.7 ft,Route from GARMIN 3113 (2020-02-18 23:34:48+00:00),Chicago,2/18/2020
6.41 mi,104.0 ft,Route from GARMIN 2604 (2020-02-18 21:24:25+00:00),Bensenville,2/18/2020
2.90 mi,21.3 ft,2.40mi Run,Hoffman Estates,2/18/2020
2.87 mi,13.5 ft,quick run,Lincolnwood,2/18/2020
3.14 mi,166.7 ft,Route from GARMIN 2888 (2020-02-18 19:49:17+00:00),Chicago,2/18/2020
5.03 mi,72.8 ft,5.01mi Run,Chicago,2/18/2020
6.22 mi,82.0 ft,Route from GARMIN 2431 (2020-02-18 18:18:40+00:00),Rosemont,2/18/2020
4.04 mi,87.9 ft,Route from Suunto (2020-02-18),Chicago,2/18/2020
1.22 mi,9.2 ft,1.22mi Run,Oak Park,2/18/2020
4.30 mi,64.6 ft,Route from GARMIN 2503 (2020-02-18 11:15:39+00:00),Evanston,2/18/2020
0.47 mi,3.9 ft,Route from GARMIN 2158 (2020-02-18 06:19:26+00:00),Libertyville,2/18/2020
4.12 mi,49.2 ft,Route from GARMIN 2158 (2020-02-18 05:43:59+00:00),Libertyville,2/18/2020
2.74 mi,54.8 ft,Route from GARMIN 2431 (2020-02-18 03:52:49+00:00),Chicago,2/17/2020
5.67 mi,88.3 ft,Chicago Prairie District to Breakwater,Chicago,2/17/2020
1.92 mi,33.5 ft,1.53mi Run,Lake Forest,2/17/2020
3.26 mi,70.9 ft,3.26mi Run,Gurnee,2/17/2020
9.53 mi,404.9 ft,Route from GARMIN 2431 (2020-02-17 16:17:43+00:00),Chicago,2/17/2020
5.11 mi,87.3 ft,Route from GARMIN 2431 (2020-02-17 17:03:28+00:00),Lincolnwood,2/17/2020
0.60 mi,4.6 ft,0.60mi Run,Lincolnwood,2/17/2020
3.50 mi,74.1 ft,Route from Suunto (2020-02-17),Chicago,2/17/2020
6.38 mi,144.4 ft,6.05mi Run,Grayslake,2/17/2020
1.99 mi,11.5 ft,1.98mi Run,Forest Park,2/17/2020
5.07 mi,63.6 ft,5.06mi Run,Addison,2/17/2020
5.03 mi,62.7 ft,5.02mi Run,Addison,2/17/2020
5.24 mi,48.9 ft,5.03mi Run,Itasca,2/16/2020
6.13 mi,132.2 ft,Route from GARMIN 2158 (2020-02-16 23:14:33+00:00),Mundelein,2/16/2020
5.51 mi,83.3 ft,Route from GARMIN 2431 (2020-02-16 22:33:28+00:00),Lincolnwood,2/16/2020
5.19 mi,134.8 ft,Route from GARMIN 2431 (2020-02-16 21:14:02+00:00),Chicago,2/16/2020
6.51 mi,219.2 ft,6.51mi Run,Chicago,2/16/2020
10.25 mi,107.3 ft,10.25mi Run,Addison,2/16/2020
2.54 mi,39.4 ft,Route from GARMIN 2431 (2020-02-16 18:19:40+00:00),Lincolnwood,2/16/2020
12.90 mi,476.0 ft,20.00km Run,Lincolnwood,2/16/2020
10.87 mi,501.3 ft,9.42mi Run,Chicago,2/16/2020
5.80 mi,52.8 ft,Route from GARMIN 2691 (2020-02-16 15:52:46+00:00),Chicago,2/16/2020
3.32 mi,55.4 ft,RUN,Highland Park,2/16/2020
2.02 mi,6.9 ft,2.02mi Run,Forest Park,2/16/2020
6.17 mi,102.4 ft,Route from GARMIN 2888 (2020-02-16 14:07:32+00:00),Lincolnwood,2/16/2020
8.51 mi,196.9 ft,8.30mi Run,Roselle,2/16/2020
3.09 mi,36.7 ft,Gerry's 5k - option 2,Arlington Heights,2/16/2020
3.01 mi,39.4 ft,Gerry's 5k - option 1,Arlington Heights,2/16/2020
0.28 mi,0.0 ft,0.14mi Run,Rosemont,2/16/2020
7.18 mi,88.3 ft,Route from GARMIN 3113 (2020-02-16 12:06:30+00:00),Arlington Heights,2/16/2020
3.12 mi,40.7 ft,MarioKart 5K Run,Lincolnwood,2/15/2020
12.07 mi,165.0 ft,Route from GARMIN 2431 (2020-02-15 19:03:11+00:00),Lincolnwood,2/15/2020
2.59 mi,12.8 ft,2.59mi Run,La Grange Park,2/15/2020
5.02 mi,62.3 ft,5.02mi Run,Addison,2/15/2020
10.95 mi,222.4 ft,10.93mi Run,Oak Brook,2/15/2020
5.21 mi,123.0 ft,North Lakefront 5-mile,Chicago,2/15/2020
1.05 mi,12.5 ft,1.05mi Run,Forest Park,2/15/2020
1.25 mi,4.3 ft,Route from GARMIN 2697 (2020-02-15 12:26:49+00:00),Addison,2/15/2020
6.04 mi,91.5 ft,out and back 6,Lake Bluff,2/15/2020
6.52 mi,151.6 ft,10.06km Run,Lincolnwood,2/14/2020
2.03 mi,31.8 ft,Route from GARMIN 2431 (2020-02-14 21:43:34+00:00),Chicago,2/14/2020
0.98 mi,8.5 ft,0.98mi Run,Oak Park,2/14/2020
4.42 mi,63.3 ft,CY Runs: Chicago Lincolnshire 4.42 miles,Lincolnshire,2/14/2020
2.32 mi,25.9 ft,CY Runs: Chicago Lincolnshire 2.32 miles,Lincolnshire,2/14/2020
5.06 mi,64.0 ft,5.06mi Run,Addison,2/13/2020
6.29 mi,97.1 ft,Route from GARMIN 2503 (2020-02-13 22:14:24+00:00),Evanston,2/13/2020
7.12 mi,105.6 ft,Route from GARMIN 2431 (2020-02-13 19:43:27+00:00),Lincolnwood,2/13/2020
6.22 mi,59.4 ft,Route from GARMIN 2988 (2020-02-13 14:37:03+00:00),Lincolnwood,2/13/2020
1.16 mi,7.5 ft,1.15mi Run,Oak Park,2/13/2020
3.07 mi,56.8 ft,Route from GARMIN 2431 (2020-02-13 03:05:20+00:00),Chicago,2/12/2020
3.79 mi,163.7 ft,3.79mi Run,Chicago,2/12/2020
2.40 mi,34.4 ft,2.40mi Run,Oak Brook,2/12/2020
4.11 mi,238.2 ft,Route from GARMIN 2888 (2020-02-12 19:05:17+00:00),Chicago,2/12/2020
5.11 mi,74.5 ft,Route from GARMIN 2431 (2020-02-12 18:22:10+00:00),Rosemont,2/12/2020
3.01 mi,44.3 ft,Route from GARMIN 2431 (2020-02-12 14:20:42+00:00),Park Ridge,2/12/2020
3.10 mi,45.3 ft,Route from GARMIN 2156 (2020-02-12 12:57:04+00:00),Elmhurst,2/12/2020
10.01 mi,120.4 ft,Route from GARMIN 3113 (2020-02-12 11:54:13+00:00),Arlington Heights,2/12/2020
4.76 mi,69.6 ft,4.37mi Run,Grayslake,2/12/2020
2.21 mi,20.3 ft,2.00mi Run,Forest Park,2/12/2020
5.06 mi,63.6 ft,5.06mi Run,Addison,2/11/2020
4.31 mi,92.8 ft,Route from GARMIN 2158 (2020-02-12 01:01:19+00:00),Libertyville,2/11/2020
0.53 mi,5.6 ft,0.52mi Run,Hoffman Estates,2/11/2020
14.72 mi,136.8 ft,Route from GARMIN 2988 (2020-02-11 21:27:30+00:00),Oak Park,2/11/2020
2.22 mi,35.1 ft,2.21mi Run,Lincolnwood,2/11/2020
2.67 mi,125.7 ft,Route from GARMIN 2888 (2020-02-10 19:17:36+00:00),Chicago,2/11/2020
0.39 mi,0.0 ft,Hill Repeats - Resevoir,Palatine,2/11/2020
1.02 mi,50.5 ft,1.01mi Run,Chicago,2/11/2020
6.37 mi,66.3 ft,Route from GARMIN 2431 (2020-02-11 18:37:45+00:00),Rosemont,2/11/2020
3.01 mi,26.6 ft,3.01mi Run,Chicago,2/11/2020
3.10 mi,25.9 ft,3.03mi Run,Westchester,2/11/2020
0.52 mi,6.6 ft,FFS 1 Mile Time Trial,Chicago,2/11/2020
1.03 mi,10.2 ft,1.00mi Run,Broadview,2/11/2020
16.13 mi,305.4 ft,16 miler - West Side,Palatine,2/11/2020
16.13 mi,305.4 ft,16 miler - West Side,Palatine,2/11/2020
5.00 mi,194.6 ft,Shamrock Shuffle 8K Course,Chicago,2/11/2020
4.09 mi,26.9 ft,4.01mi Run,Lincolnwood,2/11/2020
4.40 mi,325.5 ft,4.01mi Run,Chicago,2/11/2020
1.04 mi,10.5 ft,1.04mi Run,Oak Park,2/11/2020
3.78 mi,62.3 ft,Route from GARMIN 2503 (2020-02-11 11:09:54+00:00),Evanston,2/11/2020
2.30 mi,43.3 ft,2.14mi Run,Chicago,2/10/2020
2.80 mi,56.8 ft,Route from GARMIN 2431 (2020-02-11 01:14:26+00:00),Chicago,2/10/2020
4.67 mi,359.3 ft,4.65mi Run,Chicago,2/10/2020
5.54 mi,133.2 ft,4.83mi Run,Chicago,2/10/2020
1.31 mi,11.8 ft,2.06km Run,Lincolnwood,2/10/2020
1.93 mi,17.7 ft,3.04km Run,Lincolnwood,2/10/2020
5.12 mi,73.5 ft,Route from GARMIN 2431 (2020-02-10 18:34:33+00:00),Rosemont,2/10/2020
3.32 mi,70.5 ft,3.32mi Run,Gurnee,2/10/2020
3.12 mi,34.4 ft,Hot Tamale 5K,Lincolnwood,2/10/2020
3.12 mi,33.1 ft,DSTS 5K (2),Lincolnwood,2/10/2020
5.02 mi,71.5 ft,Route from GARMIN 2431 (2020-02-10 16:34:04+00:00),Park Ridge,2/10/2020
5.56 mi,131.6 ft,5 Miler - Tutor,Inverness,2/10/2020
3.57 mi,79.7 ft,Route from Suunto (2020-02-10),Chicago,2/10/2020
1.03 mi,15.4 ft,1.03mi Run,Forest Park,2/10/2020
0.46 mi,3.9 ft,Route from GARMIN 2158 (2020-02-10 06:26:13+00:00),Libertyville,2/10/2020
8.05 mi,167.0 ft,Route from GARMIN 2158 (2020-02-10 05:21:14+00:00),Libertyville,2/10/2020
8.01 mi,158.8 ft,8 on 4th,Libertyville,2/9/2020
1.51 mi,20.7 ft,1.48mi Run,Hoffman Estates,2/9/2020
2.07 mi,12.1 ft,Route from GARMIN FR920XT (2020-02-09 20:28:22+00:00),Oak Park,2/9/2020
8.58 mi,103.7 ft,8.48mi Run,Addison,2/9/2020
10.82 mi,342.2 ft,Route from GARMIN 2431 (2020-02-09 17:25:39+00:00),Lincolnwood,2/9/2020
3.34 mi,34.4 ft,Route from GARMIN 2503 (2020-02-09 18:00:38+00:00),Evanston,2/9/2020
10.30 mi,319.9 ft,16.12km Run,Lincolnwood,2/9/2020
6.04 mi,44.3 ft,Route from GARMIN 2431 (2020-02-09 17:28:14+00:00),Lincolnwood,2/9/2020
10.05 mi,129.9 ft,10.03mi Run,Lincolnwood,2/9/2020
8.15 mi,158.8 ft,7.19mi Run,Chicago,2/9/2020
0.98 mi,13.5 ft,0.98mi Run,Forest Park,2/9/2020
7.08 mi,99.4 ft,Chelsey 7mi,Evanston,2/9/2020
5.64 mi,115.8 ft,Route from GARMIN 2888 (2020-02-09 14:05:44+00:00),Lincolnwood,2/9/2020
2.16 mi,23.3 ft,Route from GARMIN 2156 (2020-02-09 14:36:23+00:00),Elmhurst,2/9/2020
3.86 mi,91.5 ft,Route from GARMIN 2886 (2020-02-09 13:27:36+00:00),Chicago,2/9/2020
7.03 mi,96.5 ft,Route from GARMIN 3113 (2020-02-09 12:15:50+00:00),Arlington Heights,2/9/2020
15.82 mi,342.5 ft,15 starting from sheridan,Highwood,2/8/2020
8.09 mi,314.3 ft,Route from GARMIN 3113 (2020-02-08 22:25:47+00:00),Chicago,2/8/2020
3.11 mi,59.7 ft,Route from GARMIN 2431 (2020-02-08 21:39:29+00:00),Chicago,2/8/2020
3.14 mi,62.7 ft,3.10mi Run,Lake Zurich,2/8/2020
3.14 mi,62.7 ft,3.10mi Run,Lake Zurich,2/8/2020
3.14 mi,62.7 ft,3.10mi Run,Lake Zurich,2/8/2020
5.52 mi,239.5 ft,5.52mi Run,Chicago,2/8/2020
3.24 mi,39.4 ft,Route from GARMIN 2503 (2020-02-08 19:42:39+00:00),Palatine,2/8/2020
6.23 mi,55.4 ft,Route from GARMIN 2988 (2020-02-08 18:05:40+00:00),Lincolnwood,2/8/2020
3.34 mi,23.6 ft,3.25mi Run,Des Plaines,2/8/2020
4.13 mi,47.6 ft,Route from GARMIN 2604 (2020-02-08 17:47:12+00:00),Bensenville,2/8/2020
10.53 mi,616.8 ft,9.44mi Run,Chicago,2/8/2020
2.47 mi,11.8 ft,2.47mi Run,La Grange Park,2/8/2020
6.15 mi,116.1 ft,RUN,Highland Park,2/8/2020
1.04 mi,16.1 ft,Route from GARMIN 2156 (2020-02-08 15:36:30+00:00),Elmhurst,2/8/2020
4.56 mi,28.9 ft,Route from GARMIN 2623 (2020-02-08 15:04:15+00:00),Lincolnwood,2/8/2020
2.19 mi,27.2 ft,Route from GARMIN 2156 (2020-02-08 14:49:32+00:00),Elmhurst,2/8/2020
1.23 mi,16.4 ft,1.04mi Run,Forest Park,2/8/2020
8.28 mi,168.0 ft,8.03mi Run,Itasca,2/8/2020
5.04 mi,61.0 ft,5.04mi Run,Addison,2/7/2020
5.04 mi,63.0 ft,Route from GARMIN 2158 (2020-02-07 23:25:32+00:00),Libertyville,2/7/2020
5.31 mi,419.0 ft,5.04mi Run,Chicago,2/7/2020
8.49 mi,121.1 ft,Route from GARMIN 2431 (2020-02-07 18:07:06+00:00),Lincolnwood,2/7/2020
5.14 mi,65.0 ft,5.01mi Run,Deerfield,2/7/2020
3.25 mi,70.9 ft,3.25mi Run,Gurnee,2/7/2020
10.45 mi,237.5 ft,10-Miler Snow Route,Palatine,2/7/2020
7.62 mi,53.1 ft,6.82mi Run,Oak Park,2/7/2020
1.93 mi,16.4 ft,1.85mi Run,Elk Grove Village,2/7/2020
4.23 mi,76.8 ft,RUN,Highland Park,2/7/2020
10.05 mi,121.1 ft,Route from GARMIN 3113 (2020-02-07 11:24:25+00:00),Arlington Heights,2/7/2020
2.03 mi,32.8 ft,Route from GARMIN 2431 (2020-02-07 03:59:42+00:00),Chicago,2/6/2020
2.04 mi,11.5 ft,2.04mi Run,Oak Brook,2/6/2020
4.28 mi,76.8 ft,Route from GARMIN 2503 (2020-02-06 22:12:38+00:00),Evanston,2/6/2020
7.09 mi,113.2 ft,Route from GARMIN 2604 (2020-02-06 21:10:17+00:00),Bensenville,2/6/2020
4.59 mi,268.0 ft,Route from GARMIN 2888 (2020-02-06 18:57:29+00:00),Chicago,2/6/2020
1.01 mi,24.9 ft,1.01mi Run,Oak Park,2/6/2020
3.05 mi,56.1 ft,Route from GARMIN 2431 (2020-02-06 03:23:09+00:00),Chicago,2/5/2020
5.01 mi,71.2 ft,5.01mi Run,Chicago,2/5/2020
13.75 mi,155.8 ft,Route from GARMIN 2988 (2020-02-05 18:30:54+00:00),Lincolnwood,2/5/2020
4.91 mi,139.8 ft,4.90mi Run,Bloomingdale,2/5/2020
4.91 mi,139.8 ft,4.90mi Run,Bloomingdale,2/5/2020
3.50 mi,24.3 ft,3.11mi Run,Broadview,2/5/2020
3.51 mi,29.2 ft,Route from GARMIN 2623 (2020-02-05 17:19:48+00:00),Lincolnwood,2/5/2020
7.45 mi,174.5 ft,7-Miler Inverness Loop,Palatine,2/5/2020
5.00 mi,79.4 ft,Route from GARMIN 2431 (2020-02-05 14:14:47+00:00),Park Ridge,2/5/2020
1.67 mi,11.5 ft,1.67mi Run,Lincolnwood,2/5/2020
5.00 mi,33.8 ft,Route from GARMIN 2691 (2020-02-05 13:25:41+00:00),Chicago,2/5/2020
6.26 mi,93.8 ft,5.70mi Run,Grayslake,2/5/2020
2.94 mi,50.5 ft,RUN,Highland Park,2/5/2020
2.01 mi,10.5 ft,2.01mi Run,Forest Park,2/5/2020
3.09 mi,98.4 ft,3.09mi Run,Deerfield,2/5/2020
3.89 mi,85.0 ft,Route from GARMIN 2886 (2020-02-05 11:54:22+00:00),Chicago,2/5/2020
4.01 mi,119.4 ft,Route from GARMIN 2158 (2020-02-05 03:29:31+00:00),Libertyville,2/4/2020
3.07 mi,15.7 ft,3.01mi Run,Lincolnwood,2/4/2020
3.20 mi,16.1 ft,3.14mi Run,Lincolnwood,2/4/2020
3.11 mi,15.1 ft,3.02mi Run,Lincolnwood,2/4/2020
4.14 mi,59.7 ft,4.14mi Run,Addison,2/4/2020
3.27 mi,44.0 ft,3.27mi Run,Oak Brook,2/4/2020
2.86 mi,105.0 ft,2.86mi Run,Chicago,2/4/2020
1.68 mi,29.9 ft,1.62mi Run,Highwood,2/4/2020
5.66 mi,76.1 ft,Route from GARMIN 2604 (2020-02-04 21:18:32+00:00),Bensenville,2/4/2020
6.95 mi,115.5 ft,Route from GARMIN VIVO_ACTIVE (2020-02-04 21:10:04+00:00),Schiller Park,2/4/2020
3.39 mi,76.4 ft,3.39mi Run,Glen Ellyn,2/4/2020
3.00 mi,26.9 ft,Route from GARMIN 2431 (2020-02-04 14:22:53+00:00),Park Ridge,2/4/2020
1.84 mi,25.6 ft,1.85mi Run,Lake Forest,2/4/2020
1.80 mi,23.0 ft,1.86mi Run,Lake Forest,2/4/2020
4.20 mi,213.6 ft,Route from GARMIN 2691 (2020-02-04 12:48:35+00:00),Chicago,2/4/2020
3.08 mi,96.8 ft,3.06mi Run,Deerfield,2/4/2020
2.66 mi,29.9 ft,Route from GARMIN 2503 (2020-02-04 11:18:48+00:00),Evanston,2/4/2020
1.07 mi,23.3 ft,1.04mi Run,Oak Park,2/4/2020
4.82 mi,69.2 ft,CY Runs: Chicago Wood Dale/Itasca 4.81 miles,Wood Dale,2/4/2020
2.22 mi,48.2 ft,CY Runs: Chicago Wood Dale/Itasca 2.22 miles,Wood Dale,2/4/2020
0.47 mi,3.9 ft,Route from GARMIN 2158 (2020-02-04 07:26:53+00:00),Libertyville,2/4/2020
4.04 mi,40.7 ft,Route from GARMIN 2158 (2020-02-04 06:51:55+00:00),Libertyville,2/4/2020
2.02 mi,34.1 ft,Route from GARMIN 2431 (2020-02-04 03:37:03+00:00),Chicago,2/3/2020
5.02 mi,64.0 ft,5.02mi Run,Addison,2/3/2020
2.15 mi,44.9 ft,2.12mi Run,Chicago,2/3/2020
5.85 mi,94.2 ft,5.16mi Run,Chicago,2/3/2020
5.25 mi,391.1 ft,5.25mi Run,Chicago,2/3/2020
1.00 mi,3.6 ft,Crusader 5K 2 Walk,Lake Forest,2/3/2020
3.03 mi,54.5 ft,Crusader 5K 2,Lake Forest,2/3/2020
6.32 mi,73.2 ft,Route from GARMIN 2604 (2020-02-03 19:40:15+00:00),Bensenville,2/3/2020
3.30 mi,60.7 ft,3.30mi Run,Gurnee,2/3/2020
3.51 mi,19.7 ft,3.36mi Run,Broadview,2/3/2020
4.41 mi,194.2 ft,Route from GARMIN 2886 (2020-02-03 13:51:50+00:00),Chicago,2/3/2020
2.19 mi,1.6 ft,1.34mi Run,North Chicago,2/3/2020
8.95 mi,124.0 ft,7.90mi Run,Grayslake,2/3/2020
5.14 mi,89.9 ft,Route from Suunto (2020-02-03),Chicago,2/3/2020
2.49 mi,19.7 ft,2.00mi Run,Forest Park,2/3/2020
2.07 mi,27.6 ft,2.07mi Run,Hoffman Estates,2/2/2020
5.64 mi,138.8 ft,4.44mi Run,Chicago,2/2/2020
5.26 mi,35.8 ft,Route from GARMIN 2431 (2020-02-02 21:10:56+00:00),Lincolnwood,2/2/2020
3.68 mi,40.7 ft,Route from GARMIN 2431 (2020-02-02 21:00:02+00:00),Lincolnwood,2/2/2020
9.06 mi,234.3 ft,9.04mi Run,Chicago,2/2/2020
6.06 mi,67.9 ft,6.05mi Run,Addison,2/2/2020
3.14 mi,62.7 ft,3.10mi Run,Lake Zurich,2/2/2020
3.14 mi,62.7 ft,3.10mi Run,Lake Zurich,2/2/2020
6.52 mi,110.2 ft,6.46mi Run,Elmhurst,2/2/2020
4.52 mi,50.9 ft,4.53mi Run,Lincolnwood,2/2/2020
17.54 mi,142.7 ft,Route from GARMIN 2988 (2020-02-02 17:56:39+00:00),Lincolnwood,2/2/2020
3.26 mi,28.2 ft,3.09mi Run,Chicago,2/2/2020
6.71 mi,343.2 ft,6.70mi Run,Chicago,2/2/2020
5.08 mi,60.4 ft,Route from GARMIN 2503 (2020-02-02 17:25:33+00:00),Palatine,2/2/2020
9.17 mi,331.7 ft,8.03mi Run,Chicago,2/2/2020
3.78 mi,55.4 ft,3.78mi Run,Lincolnwood,2/2/2020
2.01 mi,24.0 ft,Route from GARMIN FR920XT (2020-02-02 17:19:51+00:00),Oak Park,2/2/2020
6.32 mi,88.6 ft,Route from GARMIN 2431 (2020-02-02 16:15:47+00:00),Park Ridge,2/2/2020
3.09 mi,53.8 ft,3.02mi Run,Hoffman Estates,2/2/2020
0.99 mi,8.9 ft,1.00mi Run,Forest Park,2/2/2020
3.34 mi,17.1 ft,3.01mi Run,Lincolnwood,2/2/2020
2.87 mi,49.2 ft,RUN,Highland Park,2/2/2020
10.11 mi,252.0 ft,10.10mi Run,Bloomingdale,2/2/2020
2.53 mi,23.6 ft,Route from GARMIN 2691 (2020-02-02 15:21:06+00:00),Chicago,2/2/2020
5.36 mi,257.2 ft,5.01mi Run,Chicago,2/2/2020
3.30 mi,42.3 ft,Route from GARMIN 2697 (2020-02-02 13:25:18+00:00),Libertyville,2/2/2020
4.00 mi,68.6 ft,Route from GARMIN 3113 (2020-02-02 12:54:58+00:00),Arlington Heights,2/2/2020
6.16 mi,102.4 ft,Route from GARMIN 2697 (2020-02-02 12:00:13+00:00),Elmhurst,2/2/2020
10.56 mi,331.7 ft,9.31mi Run,Chicago,2/1/2020
10.56 mi,331.7 ft,9.31mi Run,Chicago,2/1/2020
13.07 mi,243.1 ft,Route from GARMIN 2431 (2020-02-01 19:32:27+00:00),Lincolnwood,2/1/2020
3.09 mi,26.9 ft,Turkey Trot 2,Glenview,2/1/2020
2.87 mi,48.2 ft,2.87mi Run,Oak Brook,2/1/2020
5.24 mi,360.6 ft,4.94mi Run,Chicago,2/1/2020
10.17 mi,320.2 ft,9.31mi Run,Chicago,2/1/2020
7.80 mi,197.8 ft,Route from GARMIN 2431 (2020-02-01 15:55:58+00:00),Chicago,2/1/2020
4.01 mi,47.2 ft,Route from GARMIN 2431 (2020-02-01 15:47:54+00:00),Park Ridge,2/1/2020
4.22 mi,25.9 ft,Route from GARMIN 2431 (2020-02-01 16:41:07+00:00),Lincolnwood,2/1/2020
3.08 mi,26.2 ft,Glenview Turkey Trot,Glenview,2/1/2020
3.59 mi,63.6 ft,RUN,Highland Park,2/1/2020
8.33 mi,152.2 ft,7.12mi Run,Chicago,2/1/2020
8.33 mi,152.2 ft,7.12mi Run,Chicago,2/1/2020
3.08 mi,29.9 ft,Route from GARMIN 2503 (2020-02-01 15:59:20+00:00),Evanston,2/1/2020
3.14 mi,62.7 ft,3.10mi Run,Lake Zurich,2/1/2020
2.22 mi,11.2 ft,1.69mi Run,Forest Park,2/1/2020
4.52 mi,33.5 ft,Route from GARMIN 2691 (2020-02-01 13:11:50+00:00),Chicago,2/1/2020
1.79 mi,14.1 ft,1.79mi Run,Oak Park,2/1/2020
4.02 mi,41.0 ft,Route from GARMIN 2158 (2020-02-01 03:44:37+00:00),Libertyville,1/31/2020
7.76 mi,136.5 ft,7.12mi Run,Chicago,1/31/2020
4.26 mi,59.4 ft,4.26mi Run,Addison,1/31/2020
5.48 mi,192.6 ft,Route from GARMIN 3113 (2020-01-31 23:23:53+00:00),Chicago,1/31/2020
8.09 mi,121.7 ft,8 mile out and back,Lake Bluff,1/31/2020
1.28 mi,23.3 ft,1.28mi Run,Berwyn,1/31/2020
6.34 mi,65.3 ft,Route from GARMIN 2431 (2020-01-31 18:17:46+00:00),Rosemont,1/31/2020
3.29 mi,80.1 ft,3.29mi Run,Gurnee,1/31/2020
6.64 mi,53.8 ft,6.50mi Run,Broadview,1/31/2020
12.77 mi,253.9 ft,Our Lady Mother of the Church - 13 miler,Norridge,1/31/2020
6.99 mi,231.6 ft,6.67mi Run,Chicago,1/31/2020
10.38 mi,119.8 ft,10.07mi Run,Chicago,1/31/2020
5.42 mi,55.4 ft,5.15mi Run,Chicago,1/31/2020
4.81 mi,123.0 ft,4.56mi Run,Chicago,1/31/2020
7.52 mi,188.3 ft,7.21mi Run,Chicago,1/31/2020
7.46 mi,145.0 ft,7.11mi Run,Chicago,1/31/2020
5.35 mi,110.6 ft,5.10mi Run,Chicago,1/31/2020
6.84 mi,110.6 ft,6.44mi Run,Chicago,1/31/2020
4.82 mi,104.0 ft,4.58mi Run,Chicago,1/31/2020
3.73 mi,69.6 ft,3.60mi Run,Chicago,1/31/2020
4.92 mi,100.1 ft,4.76mi Run,Chicago,1/31/2020
6.68 mi,231.3 ft,6.29mi Run,Chicago,1/31/2020
6.56 mi,95.5 ft,6.27mi Run,Chicago,1/31/2020
5.19 mi,105.3 ft,5.04mi Run,Chicago,1/31/2020
4.54 mi,124.3 ft,4.33mi Run,Chicago,1/31/2020
10.03 mi,325.1 ft,9.44mi Run,Chicago,1/31/2020
7.47 mi,156.5 ft,7.12mi Run,Chicago,1/31/2020
5.15 mi,128.9 ft,4.94mi Run,Chicago,1/31/2020
7.65 mi,246.7 ft,7.30mi Run,Chicago,1/31/2020
5.37 mi,135.2 ft,5.14mi Run,Chicago,1/31/2020
9.71 mi,448.8 ft,9.70mi Run,Chicago,1/31/2020
7.30 mi,158.1 ft,7.02mi Run,Chicago,1/31/2020
